Merchant_Keyword,Merchant_Clean,Category,Subcategory,Aliases
Firstcry,Firstcry,Children & Education,Kids Shopping,
HB Leisure,HB Leisure,Children & Education,Kids Activities,
Hb leisure games and a,Hb leisure games and a,Children & Education,Kids Activities,
Toys R Us,Toys R Us,Children & Education,School Supplies,
Zenda,Zenda,Children & Education,School Fees,school payments
%65 arabica,Arabica,Dining,Cafe,arabica|arabica coffee
careem food,Careem Food,Dining,Food Delivery,careem food|careemfood
costa,Costa Coffee,Dining,Cafe,costa|costa coffee
deliveroo,Deliveroo,Dining,Food Delivery,deliveroo
kfc,KFC,Dining,Restaurant,kfc
mcdonalds,McDonald's,Dining,Restaurant,mcdonalds|mcdonald
noon food,Noon Food,Dining,Food Delivery,noon food|noonfood
shake shack,Shake Shack,Dining,Restaurant,shake shack
starbucks,Starbucks,Dining,Cafe,starbucks|sbux
talabat,Talabat,Dining,Food Delivery,talabat
texas roadhouse,Texas Roadhouse,Dining,Restaurant,texas roadhouse
tim hortons,Tim Hortons,Dining,Cafe,tim hortons
zomato,Zomato,Dining,Food Delivery,zomato
Al Nahda Tea Junction,Junction,Dining & Cafes,Restaurants,
Alrashidiya Jaba Al Noorl,Alrashidiya Jaba Al Noorl,Dining & Cafes,Restaurants,
Arsalan,Arsalan,Dining & Cafes,Restaurants,
Asian restaurants fz,Restaurant,Dining & Cafes,Restaurants,
Bon voyage juice,Bon Voyage Juice,Dining & Cafes,Cafes & Coffee,
Bubee Drinks,Bubee Drinks,Dining & Cafes,Cafes & Coffee,
Burger King,Burger King,Dining & Cafes,Fast Food,
Cafeteria,Cafeteria,Dining & Cafes,Cafes & Coffee,
Chou chou dmcc tea bre,Chou Chou Tea,Dining & Cafes,Cafes & Coffee,
Chowking Restaurant,Restaurant,Dining & Cafes,Restaurants,
Cintafresh pastry prep,Cintafresh pastry prep,Dining & Cafes,Bakery & Sweets,
City View Restaurant,Restaurant,Dining & Cafes,Restaurants,
Dosa Plaza,Dosa plaza,Dining & Cafes,Restaurants,
Ecca Restaurants,Restaurant,Dining & Cafes,Restaurants,
Elco Restaurants,Elco Restaurants,Dining & Cafes,Restaurants,
Fakhri sweets,Fakhri sweets,Dining & Cafes,Cafes & Coffee,
Fishermans hub hotel m,Fishermans hub hotel m,Dining & Cafes,Restaurants,
Garlic routes rest,Garlic routes restaur,Dining & Cafes,Restaurants,
Garlic routes restaur,Garlic routes restaur,Dining & Cafes,Restaurants,
Garlic routes restaura,Garlic routes restaura,Dining & Cafes,Restaurants,
Gateaux llc,Gateaux Llc,Dining & Cafes,Bakery & Sweets,
Golositalia,Golositalia,Dining & Cafes,Restaurants,
Halla shawarma,Halla Shawarma,Dining & Cafes,Restaurants,
Hardees,Hardees,Dining & Cafes,Fast Food,
Junction,Junction,Dining & Cafes,Restaurants,
Kamat Restaurant,Kamat Restaurant,Dining & Cafes,Restaurants,
Keeta db delivery serv,Keeta db delivery serv,Dining & Cafes,Food Delivery,
Keventers,Keventers,Dining & Cafes,Cafes & Coffee,
Little cup rest n cafe,Little cup rest n cafe,Dining & Cafes,Cafes & Coffee,
Little cup resturant a,Little cup resturant a,Dining & Cafes,Restaurants,
Malgudi city rest,Malgudi city rest,Dining & Cafes,Restaurants,
Mamis Illam Pure Veg,Mamis Illam Pure Veg,Dining & Cafes,Restaurants,
McDonald's,McDonald's,Dining & Cafes,Fast Food,
McGettigans,McGettigans,Dining & Cafes,Restaurants,
Mumbai express restura,Mumbai express restura,Dining & Cafes,Restaurants,
Peshwa Restaurant,Restaurant,Dining & Cafes,Restaurants,
Pizza Hut,Pizza Hut,Dining & Cafes,Fast Food,
Pos golden royal lai l,Pos golden royal lai l,Dining & Cafes,Restaurants,
Restaurant,Restaurant,Dining & Cafes,Restaurants,
Sangeetha Vegetarian Restaurant,Sangeetha Vegetarian Restaurant,Dining & Cafes,Restaurants,
Seven,Seven,Dining & Cafes,Cafes & Coffee,
Sigdi Restaurant,Sigdi Restaurant,Dining & Cafes,Restaurants,
Spicy kaara saaram res,Spicy kaara saaram res,Dining & Cafes,Restaurants,
Sri krishna bhavan res,Sri krishna bhavan res,Dining & Cafes,Restaurants,
Subway,Subway,Dining & Cafes,Fast Food,
Tap keeta,Tap keeta,Dining & Cafes,Food Delivery,
Tropics cafe,Tropics Cafe,Dining & Cafes,Cafes & Coffee,
Truffele chocolate tra,Truffele Chocolate,Dining & Cafes,Bakery & Sweets,
Vasanta Bhavan,Vasanta Bhavan,Dining & Cafes,Restaurants,
Veg world rest,Veg world rest,Dining & Cafes,Restaurants,
Vrindhavan Restaurant,Vrindhavan Restaurant,Dining & Cafes,Restaurants,
Wokyo,Wokyo,Dining & Cafes,Restaurants,
Abu Dhabi Theme Parks,Abu Dhabi Theme Parks,Entertainment & Leisure,Parks & Attractions,
Al mamzar park,Al Mamzar Park,Entertainment & Leisure,Parks & Attractions,
Creek Park,Creek Park,Entertainment & Leisure,Parks & Attractions,
Digiphoto Studio,Digiphoto Studio,Entertainment & Leisure,Events & Concerts,
Dubai Parks,Dubai Parks,Entertainment & Leisure,Parks & Attractions,
Global Village,Global Village,Entertainment & Leisure,Parks & Attractions,
IMG Worlds,IMG Worlds,Entertainment & Leisure,Parks & Attractions,
Legoland,Legoland,Entertainment & Leisure,Parks & Attractions,
Miral Experiences,Miral Experiences,Entertainment & Leisure,Parks & Attractions,
Motiongate,Motiongate,Entertainment & Leisure,Parks & Attractions,
Noqodi gv,Noqodi Global Village,Entertainment & Leisure,Parks & Attractions,
R n a events,R n a events,Entertainment & Leisure,Events & Concerts,
Royal adventure,Royal Adventure,Entertainment & Leisure,Parks & Attractions,
Royal Melody,Royal Melody,Entertainment & Leisure,Events & Concerts,
Ski Dubai,Ski Dubai,Entertainment & Leisure,Parks & Attractions,
Switch Middle East Trading,Switch Middle East Trading,Entertainment & Leisure,Sports & Activities,
Vox Cinemas,VOX Cinemas,Entertainment & Leisure,Movies & Events,
Yas Waterworld,Yas Waterworld,Entertainment & Leisure,Parks & Attractions,
CBDcc payment,CBD Credit Card,Financial & Transfers,BNPL / Repayments,
